treeID,species,stems,x,y,dbh_cm
1,QUDO,1,-2.75,1.8,120
2,QUDO,1,-5.15,3.8,90
3,QUDO,1,0.3,5.25,150
4,QUDO,1,-1.25,6.25,80
5,QUDO,1,-8.4,7.25,75
6,QUDO,2,3.5,7.7,90.1
7,QUDO,1,-0.95,8.5,50
8,QUDO,1,-6.2,9.6,50
9,QUDO,1,-7.4,12.4,140
10,QUDO,1,-9.05,12.5,30
11,QUDO,1,-9.95,13.2,25
12,QUDO,1,-11.7,14.4,60
13,QUAG,1,-9.75,15.3,42
14,QUDO,1,-7.2,15.4,50
15,QUDO,1,3.5,16,131
16,QUDO,1,3.3,16.8,80
17,QUDO,1,-10.7,16.7,43
18,QUDO,1,-11.6,16.6,105
19,QUDO,1,-8.55,19.2,80
20,QUDO,1,-5,19.3,85
21,QUDO,1,12,19.6,79
22,QUDO,1,10.1,21.6,105
23,QUDO,1,-7.9,24.4,46
24,QUDO,1,-9.05,24.45,80
25,QUDO,1,-6.55,24.85,95
26,QUDO,1,-10.35,26.85,77
27,QUDO,1,-10.35,27.8,80
28,QUDO,1,-12.3,29.2,104
29,QUDO,1,1.8,27.4,100
30,QUDO,1,10.5,25.3,137
31,QUDO,1,9.1,26.2,70
32,QUDO,1,4,35,95
33,QUDO,1,9.7,38.9,58
34,QUDO,1,7.1,41.4,82
35,QUDO,1,7.9,43.9,91
36,QUAG,1,5.75,46.9,69
37,QUDO,1,11.75,47.3,98
38,QUDO,1,9.95,47.8,65
39,QUDO,1,11.4,48.7,95
40,QUAG,1,9,49.1,53
