"treeID","species","stems","x","y","dbh"
1,"QUDO","1",-8.2,49.3,55.2
2,"QUDO","1",-10,41,15.8
3,"QUDO","1",-0.8,40.6,81.3
4,"QUDO","1",-10.6,40.8,16.5
5,"QUDO","1",-4.8,37.4,13.5
6,"QUAG","1",-5,36.3,15
7,"QUDO","2",-6.5,35.3,21.1
8,"QUDO","1",2,33,28
9,"QUDO","2",12.2,33,61.4
10,"QUDO","1",-3.9,28.4,32.9
11,"QUDO","1",2.3,28,45
12,"QUDO","1",-1.5,25.6,12.7
13,"QUDO","2",4.7,25.2,32.3
14,"QUDO","1",-2.6,25,19.1
15,"QUDO","1",11.5,19.1,27.5
16,"QUDO","2",-8.3,10,29.6
17,"QUDO","1",-1.5,4,53.5
18,"QUDO","1",-11.6,1.7,55
